test_number,time,frozen_counter,total_time
1,05/05/2021 12:53:26,242,656.7999999999789
2,05/05/2021 12:54:17,155,286.7999999999907
3,05/05/2021 12:55:09,136,276.3999999999935
4,05/05/2021 12:56:01,112,282.799999999992
5,05/05/2021 12:56:52,159,258.199999999998
6,05/05/2021 12:57:43,192,393.7999999999877
7,05/05/2021 12:58:34,212,356.99999999999164
8,05/05/2021 12:59:25,176,387.5999999999869
9,05/05/2021 13:00:16,135,295.39999999999134
10,05/05/2021 13:01:07,177,446.7999999999843
11,05/05/2021 13:01:58,133,205.3999999999948
12,05/05/2021 13:02:48,94,337.59999999999195
13,05/05/2021 13:03:40,183,340.79999999999126
14,05/05/2021 13:04:34,203,620.3999999999794
15,05/05/2021 13:05:25,205,508.7999999999863
16,05/05/2021 13:06:18,140,328.99999999998954
17,05/05/2021 13:07:11,188,342.3999999999915
18,05/05/2021 13:08:02,118,309.79999999999177
19,05/05/2021 13:08:53,151,343.1999999999892
20,05/05/2021 13:09:44,126,348.79999999999177
21,05/05/2021 13:10:35,174,408.5999999999881
22,05/05/2021 13:11:26,191,340.5999999999908
23,05/05/2021 13:12:16,118,329.79999999999023
24,05/05/2021 13:13:07,165,281.5999999999924
25,05/05/2021 13:13:59,0,0.0
26,05/05/2021 13:14:50,174,433.3999999999894
27,05/05/2021 13:15:41,180,373.7999999999884
28,05/05/2021 13:16:32,204,320.5999999999911
29,05/05/2021 13:17:23,128,247.79999999999387
30,05/05/2021 13:18:14,99,317.999999999992
31,05/05/2021 13:19:06,196,304.3999999999921
32,05/05/2021 13:19:57,147,335.19999999999015
33,05/05/2021 13:20:48,195,400.1999999999871
34,05/05/2021 13:21:40,170,302.19999999999357
35,05/05/2021 13:22:31,133,250.59999999999553
36,05/05/2021 13:23:23,164,323.3999999999889
37,05/05/2021 13:24:14,155,301.9999999999923
38,05/05/2021 13:25:05,156,277.999999999993
39,05/05/2021 13:25:56,146,361.59999999998865
40,05/05/2021 13:26:47,110,283.39999999999196
41,05/05/2021 13:27:38,188,219.39999999999327
42,05/05/2021 13:28:29,189,274.7999999999935
43,05/05/2021 13:29:20,0,0.0
44,05/05/2021 13:30:12,247,413.7999999999892
45,05/05/2021 13:31:03,121,311.79999999999086
46,05/05/2021 13:31:54,151,231.59999999999167
47,05/05/2021 13:32:46,136,308.59999999999155
48,05/05/2021 13:33:37,214,680.1999999999802
49,05/05/2021 13:34:28,140,309.5999999999916
50,05/05/2021 13:35:19,195,426.39999999998764
51,05/05/2021 13:36:10,148,238.39999999999372
52,05/05/2021 13:37:01,182,422.59999999998774
53,05/05/2021 13:37:52,157,347.3999999999904
54,05/05/2021 13:38:43,120,331.9999999999903
55,05/05/2021 13:39:34,121,301.5999999999913
56,05/05/2021 13:40:24,201,341.1999999999902
57,05/05/2021 13:41:16,149,296.59999999999104
58,05/05/2021 13:42:07,190,388.79999999998995
59,05/05/2021 13:42:59,175,350.1999999999907
60,05/05/2021 13:43:50,192,400.59999999998814
61,05/05/2021 13:44:41,125,322.1999999999903
62,05/05/2021 13:45:32,171,345.7999999999903
63,05/05/2021 13:46:23,131,357.5999999999887
64,05/05/2021 13:47:14,217,333.7999999999923
65,05/05/2021 13:48:05,136,274.39999999999173
66,05/05/2021 13:48:56,209,207.7999999999928
67,05/05/2021 13:49:47,129,306.19999999999294
68,05/05/2021 13:50:38,197,387.5999999999884
69,05/05/2021 13:51:29,139,323.99999999999136
70,05/05/2021 13:52:20,204,561.599999999979
71,05/05/2021 13:53:11,134,297.5999999999914
72,05/05/2021 13:54:02,143,218.799999999995
73,05/05/2021 13:54:52,207,406.39999999998844
74,05/05/2021 13:55:43,121,302.7999999999913
75,05/05/2021 13:56:35,186,380.59999999998706
