test_number,time,frozen_counter,total_time
1,04/05/2021 22:57:38,0,0.0
2,04/05/2021 22:58:29,18,45.79999999999873
3,04/05/2021 22:59:21,17,43.79999999999836
4,04/05/2021 23:00:12,15,46.39999999999875
5,04/05/2021 23:01:03,40,59.999999999998025
6,04/05/2021 23:01:54,10,45.999999999998536
7,04/05/2021 23:02:45,22,63.999999999998195
8,04/05/2021 23:03:36,30,79.59999999999782
9,04/05/2021 23:04:28,9,43.999999999998636
10,04/05/2021 23:05:18,28,51.799999999998334
11,04/05/2021 23:06:09,26,44.19999999999902
12,04/05/2021 23:07:00,14,42.99999999999861
13,04/05/2021 23:07:51,28,57.99999999999856
14,04/05/2021 23:08:42,22,44.799999999998796
15,04/05/2021 23:09:33,19,38.59999999999888
16,04/05/2021 23:10:24,14,51.399999999998016
17,04/05/2021 23:11:15,26,42.399999999998705
18,04/05/2021 23:12:06,21,48.99999999999895
19,04/05/2021 23:12:57,32,43.199999999999015
20,04/05/2021 23:13:48,18,54.999999999998636
21,04/05/2021 23:14:39,22,54.79999999999824
22,04/05/2021 23:15:30,24,58.19999999999885
23,04/05/2021 23:16:21,25,53.799999999997986
24,04/05/2021 23:17:12,19,40.79999999999908
25,04/05/2021 23:18:03,17,44.19999999999835
26,04/05/2021 23:18:53,18,46.9999999999986
27,04/05/2021 23:19:45,13,33.79999999999903
28,04/05/2021 23:20:36,24,51.99999999999862
29,04/05/2021 23:21:26,21,54.799999999997915
30,04/05/2021 23:22:17,19,41.79999999999901
31,04/05/2021 23:23:08,20,47.59999999999848
32,04/05/2021 23:23:59,13,49.99999999999878
33,04/05/2021 23:24:50,22,45.99999999999848
34,04/05/2021 23:25:41,20,51.599999999998204
35,04/05/2021 23:26:32,23,46.199999999998596
36,04/05/2021 23:27:23,26,56.199999999998205
37,04/05/2021 23:28:14,16,41.79999999999876
38,04/05/2021 23:29:04,15,39.999999999999204
39,04/05/2021 23:29:55,17,43.99999999999849
40,04/05/2021 23:30:46,13,47.19999999999894
41,04/05/2021 23:31:37,17,63.79999999999782
42,04/05/2021 23:32:27,40,56.59999999999787
43,04/05/2021 23:33:18,14,35.59999999999943
44,04/05/2021 23:34:09,24,47.999999999998856
45,04/05/2021 23:35:00,14,43.99999999999876
46,04/05/2021 23:35:50,0,0.0
47,04/05/2021 23:36:41,19,36.99999999999866
48,04/05/2021 23:37:32,17,40.39999999999891
49,04/05/2021 23:38:23,17,47.59999999999838
50,04/05/2021 23:39:14,14,48.999999999998096
51,04/05/2021 23:40:04,18,53.799999999998306
52,04/05/2021 23:40:55,15,51.59999999999779
53,04/05/2021 23:41:46,12,51.99999999999869
54,04/05/2021 23:42:36,35,58.599999999998346
55,04/05/2021 23:43:27,19,58.99999999999778
56,04/05/2021 23:44:18,28,63.39999999999844
57,04/05/2021 23:45:09,20,38.399999999998805
58,04/05/2021 23:45:59,20,51.19999999999825
59,04/05/2021 23:46:50,17,51.39999999999831
60,04/05/2021 23:47:41,15,41.3999999999987
61,04/05/2021 23:48:32,25,45.799999999998775
62,04/05/2021 23:49:23,14,48.19999999999853
63,04/05/2021 23:50:13,24,52.99999999999836
64,04/05/2021 23:51:04,14,37.799999999999315
65,04/05/2021 23:51:55,12,36.799999999998704
66,04/05/2021 23:52:46,21,45.599999999998474
67,04/05/2021 23:53:36,21,47.199999999998596
68,04/05/2021 23:54:27,9,25.999999999999424
69,04/05/2021 23:55:18,23,37.99999999999886
70,04/05/2021 23:56:08,12,43.199999999998596
71,04/05/2021 23:56:59,23,57.5999999999981
72,04/05/2021 23:57:50,27,51.99999999999909
73,04/05/2021 23:58:41,19,41.59999999999877
74,04/05/2021 23:59:32,20,45.799999999999095
75,05/05/2021 00:00:22,11,49.19999999999867
76,05/05/2021 00:01:13,19,44.19999999999878
77,05/05/2021 00:02:04,26,58.99999999999807
78,05/05/2021 00:02:55,11,28.599999999999074
79,05/05/2021 00:03:45,14,55.799999999998185
80,05/05/2021 00:04:36,14,43.39999999999877
81,05/05/2021 00:05:27,22,44.99999999999889
82,05/05/2021 00:06:17,19,48.1999999999983
83,05/05/2021 00:07:08,24,61.59999999999849
84,05/05/2021 00:07:59,22,54.39999999999881
85,05/05/2021 00:08:50,25,56.99999999999805
86,05/05/2021 00:09:41,18,63.19999999999875
87,05/05/2021 00:10:32,17,62.39999999999808
88,05/05/2021 00:11:23,10,51.19999999999885
89,05/05/2021 00:12:13,18,46.59999999999853
90,05/05/2021 00:13:04,13,48.79999999999847
91,05/05/2021 00:13:55,19,45.99999999999838
92,05/05/2021 00:14:45,19,49.59999999999881
93,05/05/2021 00:15:36,16,54.399999999998016
94,05/05/2021 00:16:27,12,40.59999999999897
95,05/05/2021 00:17:18,27,65.19999999999808
96,05/05/2021 00:18:09,13,36.99999999999913
97,05/05/2021 00:19:00,23,48.99999999999876
98,05/05/2021 00:19:52,15,47.999999999999005
99,05/05/2021 00:20:43,15,48.3999999999989
100,05/05/2021 00:21:35,18,61.39999999999826
101,05/05/2021 00:22:26,13,45.79999999999828
102,05/05/2021 00:23:57,11,31.199999999999193
103,05/05/2021 00:24:48,10,43.59999999999857
104,05/05/2021 00:25:40,19,52.799999999998064
105,05/05/2021 00:26:30,19,33.79999999999879
106,05/05/2021 00:27:21,19,49.99999999999845
107,05/05/2021 00:28:12,26,48.99999999999895
108,05/05/2021 00:29:04,17,54.19999999999875
109,05/05/2021 00:29:55,13,42.599999999998786
110,05/05/2021 00:30:46,34,72.59999999999798
